Отметка времени;Как часто Вы переходите на красный свет?;Если Вы переходите на красный, то с чем это связано чаще всего?;Переходите ли Вы на красный, если видите, что другие пешеходы перебегают?;Перешли бы Вы дорогу на красный свет, если бы на дороге не было машин?;Перешли бы Вы дорогу на красный свет, если бы на дороге машины стояли в пробке?;Перейдите ли Вы дорогу, если Вам горит красный, а машины продолжают движение с небольшой скоростью?;Переходите ли Вы на красный сигнал, если у пешеходного перехода плохое освещение?;Переходите ли Вы на красный сигнал на пешеходных переходах, оборудованных кнопкой вызова зеленого?;Как Вы считаете, пойдут ли другие люди на красный при отсутствии машин, если запрещающий сигнал горит слишком долго?;Чувствуете ли Вы себя безопасно, переходя на красный сигнал?;Какое время Вы считаете приемлемым для ожидания зеленого, чтобы не было потребности перехода на красный?;При наличии ожидания, указанного Вами в вопросе выше, будете ли Вы переходить на красный?
4.22.2024 23:55:01;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Не перехожу на красный
4.23.2024 0:11:06;Несколько раз в месяц;Красный свет горит слишком долго;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;чувствую себя безопасно;60 секунд;Думаю, что не буду
4.23.2024 0:11:08;Несколько раз в год;Нет автотранспорта в обеих сторонах;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что продолжу переходить на красный при необходимости
4.23.2024 0:12:28;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;20 секунд;Не перехожу на красный
4.23.2024 0:19:55;Несколько раз в год;Когда вижу что ждать еще долго, а машин ни с лева ни справа нет. Или они очень далеко и едут в спокойном режиме;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Думаю, что не буду
4.23.2024 0:28:07;Несколько раз в год;Нет машин;Да, перехожу вместе с ними;Перейду вне зависимости сколько осталось ждать зеленый;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;20 секунд;Не перехожу на красный
4.23.2024 0:29:10;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.23.2024 0:39:22;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 0:42:28;Несколько раз в год;Красный свет горит слишком долго;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 0:57:16;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.23.2024 1:19:43;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
4.23.2024 2:50:28;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;20 секунд;Не перехожу на красный
4.23.2024 4:23:59;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 6:35:31;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 6:35:51;Несколько раз в год;Тороплюсь на работу/по делам;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что не буду
4.23.2024 6:40:38;Несколько раз в неделю;Тороплюсь на работу/по делам;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;30 секунд;Думаю, что не буду
4.23.2024 6:41:53;Несколько раз в неделю;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Думаю, что не буду
4.23.2024 6:42:55;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.23.2024 6:49:00;Каждый день;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
4.23.2024 7:13:42;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 7:21:07;Несколько раз в месяц;Красный свет горит слишком долго;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Да;Перехожу;Считаю, что многие пойдут;чувствую себя безопасно;30 секунд;Думаю, что не буду
4.23.2024 7:24:30;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что продолжу переходить на красный при необходимости
4.23.2024 7:38:29;Несколько раз в год;Не перехожу на красный;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
4.23.2024 7:42:39;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
4.23.2024 7:47:49;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Перехожу;Считаю, что многие пойдут;чувствую себя безопасно;30 секунд;Думаю, что не буду
4.23.2024 7:59:58;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.23.2024 8:18:30;Несколько раз в месяц;Тороплюсь на работу/по делам;Перехожу на красный, даже если другие не перебегают;Перейду вне зависимости сколько осталось ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.23.2024 8:21:49;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Более 90 секунд;Не перехожу на красный
4.23.2024 8:27:10;Несколько раз в год;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что не буду
4.23.2024 8:46:53;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
4.23.2024 9:11:58;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.23.2024 9:24:33;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.23.2024 9:24:55;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
4.23.2024 9:46:17;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что не буду
4.23.2024 10:13:30;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.23.2024 10:27:50;Несколько раз в месяц;Красный свет горит слишком долго;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что не буду
4.23.2024 10:49:04;Никогда;Не перехожу на красный Я инвалид;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;50 секунд;Не перехожу на красный
4.23.2024 10:55:13;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.23.2024 11:18:16;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;90 секунд;Не перехожу на красный
4.23.2024 11:28:20;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что не буду
4.23.2024 11:41:16;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 12:07:17;Несколько раз в месяц;Тороплюсь на подъезжающий общественный транспорт;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что продолжу переходить на красный при необходимости
4.23.2024 12:42:38;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 12:44:25;Несколько раз в год;Красный свет горит слишком долго;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что продолжу переходить на красный при необходимости
4.23.2024 12:44:29;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;70 секунд;Не перехожу на красный
4.23.2024 13:18:13;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;70 секунд;Не перехожу на красный
4.23.2024 13:20:57;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.23.2024 13:49:21;Несколько раз в год;Долгий красный, при отсутствии перекрестка и машин в поле видимости;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;Столько, сколько требуется для безопасности;Думаю, что не буду
4.23.2024 14:00:20;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 14:10:26;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Перейду вне зависимости сколько осталось ждать зеленый;Дождусь зеленый;Да;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;20 секунд;Не перехожу на красный
4.23.2024 14:11:35;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;Менее 20 секунд;Думаю, что не буду
4.23.2024 15:42:47;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.23.2024 15:44:46;Несколько раз в неделю;Тороплюсь на работу/по делам;Да, перехожу вместе с ними;Перейду вне зависимости сколько осталось ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;чувствую себя безопасно;40 секунд;Думаю, что продолжу переходить на красный при необходимости
4.23.2024 16:00:26;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.23.2024 16:35:49;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 17:20:32;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;20 секунд;Не перехожу на красный
4.23.2024 17:41:13;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;50 секунд;Не перехожу на красный
4.23.2024 17:47:18;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 19:22:50;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 20:48:53;Несколько раз в месяц;Тороплюсь на работу/по делам;Да, перехожу вместе с ними;Перейду вне зависимости сколько осталось ждать зеленый;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что продолжу переходить на красный при необходимости
4.23.2024 20:57:49;Несколько раз в месяц;Тороплюсь на работу/по делам;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;20 секунд;Думаю, что не буду
4.23.2024 21:16:27;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.23.2024 22:02:53;Несколько раз в месяц;Красный свет горит слишком долго;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Да;Перехожу;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;20 секунд;Думаю, что не буду
4.23.2024 22:28:05;Никогда;За секунду до зеленого торопясь на автобус во время дождя или мороза;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;30 секунд;Не перехожу на красный
4.23.2024 23:05:15;Каждый день;На эту дорогу нечасто поворачивают машины, а зелёный по кнопке ждать долго. Тем более что, дорога однополосная с односторонним движением. Считаю, что вызывать зелёный сигнал светофора - это тормозить движение, если автомобиль все таки поворачивает на эту дорогу. . ;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Перехожу;Считаю, что многие пойдут;чувствую себя безопасно;30 секунд;Думаю, что не буду
4.23.2024 23:32:32;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;60 секунд;Не перехожу на красный
4.24.2024 1:43:13;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.24.2024 1:44:10;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;чувствую себя безопасно;40 секунд;Думаю, что не буду
4.24.2024 7:18:22;Никогда;Не перехожу на красный;Не перехожу на красный;Дождусь зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.24.2024 11:44:55;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Не перехожу на красный
4.24.2024 12:50:37;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;40 секунд;Не перехожу на красный
4.25.2024 14:10:09;Несколько раз в месяц;Красный свет горит слишком долго;Перехожу на красный, даже если другие не перебегают;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;30 секунд;Думаю, что не буду
4.25.2024 17:37:55;Несколько раз в год;Тороплюсь на подъезжающий общественный транспорт;Да, перехожу вместе с ними;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;60 секунд;Думаю, что не буду
4.25.2024 18:24:16;Несколько раз в год;Нет ни одной машины;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;Нет;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;чувствую себя безопасно;60 секунд;Думаю, что не буду
4.25.2024 22:05:10;Никогда;Не перехожу на красный;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что многие пойдут;Не чувствую себя безопасно и не перехожу;Столько, сколько требуется для безопасности;Думаю, что не буду
4.30.2024 5:49:35;Несколько раз в год;Тороплюсь на работу/по делам;Не перехожу на красный;Перейду, если еще долго ждать зеленый;Дождусь зеленый;Дождусь зеленый;В любом случае перехожу только на зеленый;Не перехожу, нажимаю кнопку и дожидаюсь зеленого;Считаю, что пойдет несколько человек;Не чувствую себя безопасно, но перехожу так как тороплюсь или по другим причинам;40 секунд;Думаю, что продолжу переходить на красный при необходимости
